Code__c,Name,IsActive__c
2565,PLASTIC FOAM PRODUCT MFG,TRUE
2566,PLASTIC INJECTION MOULDED PRODUCT MFG,TRUE
2610,GLASS & GLASS PRODUCT MFG,TRUE
2621,CLAY BRICK MFG,TRUE
2622,CERAMIC PRODUCT MFG,TRUE
2623,CERAMIC TILE & PIPE MFG,TRUE
2629,CERAMIC PRODUCT MFG nec,TRUE
2631,CEMENT & LIME MFG,TRUE
2632,PLASTER PRODUCT MFG,TRUE
2633,CONCRETE SLURRY MFG,TRUE
2634,CONCRETE PIPE & BOX CULVERT MFG,TRUE
2635,CONCRETE PRODUCT MFG n.e.c.,TRUE
2640,NON-METALLIC MINERAL PRODUCT MFG n.e.c.,TRUE
2711,BASIC IRON & STEEL MFG,TRUE
2712,IRON & STEEL CASTING & FORGING,TRUE
2713,STEEL PIPE & TUBE MFG,TRUE
2721,ALUMINA PRODUCTION,TRUE
2722,ALUMINIUM SMELTING,TRUE
2723,COPPER SILVER LEAD & ZINC SMELTING REFINING,TRUE
2729,BASIC NON-FERROUS METAL MFG,TRUE
2731,ALUMINIUM ROLLING DRAWING EXTRUDING,TRUE
2732,NON-FERROUS METAL ROLLING DRAWING EXTRUDING nec,TRUE
2733,NON-FERROUS METAL CASTING,TRUE
2741,STRUCTURAL STEEL FABRICATING,TRUE
2742,ARCHITECTURAL ALUMINIUM PRODUCT MFG,TRUE
2749,STRUCTURAL METAL PRODUCT MFG,TRUE
2751,METAL CONTAINER MFG,TRUE
2759,SHEET METAL PRODUCT MFG,TRUE
2761,HAND TOOL & GENERAL HARDWARE MFG,TRUE
2762,SPRING & WIRE PRODUCT MFG,TRUE
2763,NUT BOLT SCREW & RIVET MFG,TRUE
2764,METAL COATING & FINISHING,TRUE
2765,NON-FERROUS PIPE FITTING MFG,TRUE
2769,FABRICATED METAL PRODUCT MFG,TRUE
2811,MOTOR VEHICLE MFG,TRUE
2812,MOTOR VEHICLE BODY MFG,TRUE
2813,AUTOMOTIVE ELECTRICAL & INSTRUMENT MFG,TRUE
2819,AUTOMOTIVE COMPONENT MFG n.e.c.,TRUE
2821,SHIPBUILDING,TRUE
2822,BOATBUILDING,TRUE
2823,RAILWAY EQUIPMENT MFG,TRUE
2824,AIRCRAFT MFG,TRUE
2829,TRANSPORT EQUIPMENT MFG n.e.c.,TRUE
2831,PHOTOGRAPHIC & OPTICAL GOODS MFG,TRUE
2832,MEDICAL & SURGICAL EQUIPMENT MFG,TRUE
2839,PROFESSIONAL & SCIENTIFIC EQUIPMENT MFG n.e.c.,TRUE
2841,COMPUTER & BUSINESS MACHINE MFG,TRUE
2842,TELECOMMUNICATION BROADCASTING & TRANSCEIVING EQUIPMENT MFG,TRUE
2849,ELECTRONIC EQUIPMENT MFG n.e.c.,TRUE
2851,HOUSEHOLD APPLIANCE MFG,TRUE
2852,ELECTRIC CABLE & WIRE MFG,TRUE
2853,BATTERY MFG,TRUE
2854,ELECTRIC LIGHT & SIGN MFG,TRUE
2859,ELECTRICAL & EQUIPMENT MFG n.e.c.,TRUE
2861,AGRICULTURAL MACHINERY MFG,TRUE
2862,MINING & CONSTRUCTION MACHINERY MFG,TRUE
2863,FOOD PROCESSING MACHINERY MFG,TRUE
2864,MACHINE TOOL & PART MFG,TRUE
2865,LIFTING & MATERIAL HANDLING EQUIPMENT MFG,TRUE
2866,PUMP & COMPRESSOR MFG,TRUE
2867,COMMERCIAL SPACE HEATING & COOLING EQUIPMENT MFG,TRUE
2869,INDUSTRIAL MACHINERY EQUIPMENT MFG n.e.c.,TRUE
2911,PREFABRICATED METAL BUILDING MFG,TRUE
2919,PREFABRICATED BUILDING MFG n.e.c.,TRUE
2921,WOOD FURNITURE & UPHOLSTERED SEAT MFG,TRUE
2922,SHEET METAL FURNITURE MFG,TRUE
2923,MATTRESS MFG (EXCEPT RUBBER),TRUE
2929,FURNITURE MFG n.e.c.,TRUE
2941,JEWELLERY & SILVERWARE MFG,TRUE
2942,TOY & SPORTING GOODS MFG,TRUE
2949,MANUFACTURING n.e.c.,TRUE
3611,ELECTRICITY GENERATION,TRUE
3612,ELECTRICITY DISTRIBUTION,TRUE
3613,ELECTRICITY SUPPLY,TRUE
3620,GAS SUPPLY,TRUE
3701,WATER SUPPLY,TRUE
3702,SEWERAGE & DRAINAGE SERVICES,TRUE
4111,HOUSE CONSTRUCTION,TRUE
4112,RESIDENTIAL BUILDING CONSTRUCTION n.e.c.,TRUE
4113,NON-RESIDENTIAL BUILDING CONSTRUCTION,TRUE
4121,ROAD & BRIDGE CONSTRUCTION,TRUE
4122,NON-BUILDING CONSTRUCTION,TRUE
4210,SITE PREPARATION SERVICES,TRUE
4211,Earthmoving,TRUE
4221,CONCRETING SERVICES,TRUE
4222,BRICKLAYING SERVICES,TRUE
4223,ROOFING SERVICES,TRUE
4224,STRUCTURAL STEEL ERECTION SERVICES,TRUE
4231,PLUMBING SERVICES,TRUE
4232,ELECTRICAL SERVICES,TRUE
4233,AIR CONDITIONING & HEATING SERVICES,TRUE
4234,FIRE & SECURITY SYSTEM SERVICES,TRUE
4241,PLASTERING & CEILING SERVICES,TRUE
4242,CARPENTRY SERVICES,TRUE
4243,TILING & CARPETING SERVICES,TRUE
4244,PAINTING & DECORATING SERVICES,TRUE
4245,GLAZING SERVICES,TRUE
4251,LANDSCAPING SERVICES,TRUE
4259,CONSTRUCTION SERVICES n.e.c.,TRUE
4511,WOOL WHOLESALING,TRUE
4512,CEREAL GRAIN WHOLESALING,TRUE
4513,COMMODITY TRADING COMPANIES – AGRI & SOFTS,TRUE
4519,FARM PRODUCE & SUPPLIES WHOLESALING,TRUE
4521,PETROLEUM PRODUCT WHOLESALING,TRUE
4522,METAL & MINERAL WHOLESALING,TRUE
4523,CHEMICAL WHOLESALING,TRUE
4525,COMMODITY TRADING COMPANIES – ENERGY,TRUE
4526,COMMODITY TRADING COMPANIES – METALS,TRUE
4531,TIMBER WHOLESALING,TRUE
4539,BUILDING SUPPLIES WHOLESALING,TRUE
4611,FARM & CONSTRUCTION MACHINERY WHOLESALING,TRUE
4612,PROFESSIONAL EQUIPMENT WHOLESALING,TRUE
4613,COMPUTER WHOLESALING,TRUE
4614,BUSINESS MACHINE WHOLESALING,TRUE
4615,ELECTRICAL & ELECTRONIC EQUIPMENT WHOLESALING,TRUE
4619,MACHINERY & EQUIPMENT WHOLESALING n.e.c.,TRUE
4621,CAR WHOLESALING,TRUE
4622,COMMERCIAL VEHICLE WHOLESALING,TRUE
4623,MOTOR VEHICLE NEW PART DEALING,TRUE
4624,MOTOR VEHICLE DISMANTLING & USED PART DEALING,TRUE
4711,MEAT WHOLESALING,TRUE
4712,POULTRY & SMALLGOOD WHOLESALING,TRUE
4713,DAIRY PRODUCE WHOLESALING,TRUE
4714,FISH WHOLESALING,TRUE
4715,FRUIT & VEGETABLE WHOLESALING,TRUE
4716,CONFECTIONERY & SOFT DRINK WHOLESALING,TRUE
4717,LIQUOR WHOLESALING,TRUE
4718,TOBACCO PRODUCT WHOLESALING,TRUE
4719,GROCERY WHOLESALING,TRUE
4721,TEXTILE PRODUCT WHOLESALING,TRUE
4722,CLOTHING WHOLESALING,TRUE
4723,FOOTWEAR WHOLESALING,TRUE
4731,HOUSEHOLD APPLIANCE WHOLESALING,TRUE
4732,FURNITURE WHOLESALING,TRUE
4733,FLOOR COVERING WHOLESALING,TRUE
4739,HOUSEHOLD GOODS WHOLESALING,TRUE
4791,PHOTOGRAPHIC EQUIPMENT WHOLESALING,TRUE
4792,JEWELLERY & WATCH WHOLESALING,TRUE
4793,TOY & SPORTING GOOD WHOLESALING,TRUE
4794,BOOK & MAGAZINE WHOLESALING,TRUE
4795,PAPER PRODUCT WHOLESALING,TRUE
4796,PHARMACEUTICAL TOILETRY WHOLESALING,TRUE
4799,WHOLESALING n.e.c.,TRUE
5110,SUPERMARKET & GROCERY STORES,TRUE
5111,Supermarkets,TRUE
5112,Grocery Stores,TRUE
5113,Dairies,TRUE
5121,FRESH MEAT FISH & POULTRY RETAILING,TRUE
5122,FRUIT & VEGETABLE RETAILING,TRUE
5123,LIQUOR RETAILING,TRUE
5124,BREAD & CAKE RETAILING,TRUE
5125,TAKEAWAY FOOD RETAILING,TRUE
5126,MILK VENDING,TRUE
5129,SPECIALISED FOOD RETAILING n.e.c.,TRUE
5210,DEPARTMENT STORE,TRUE
5221,CLOTHING RETAILING,TRUE
5222,FOOTWEAR RETAILING,TRUE
5223,FABRICS & OTHER SOFT GOODS RETAILING,TRUE
5231,FURNITURE RETAILING,TRUE
5232,FLOOR COVERING RETAILING,TRUE
5233,DOMESTIC HARDWARE & HOUSEWARE RETAILING,TRUE
5234,DOMESTIC APPLIANCE RETAILING,TRUE
5235,RECORDED MUSIC RETAILING,TRUE
5241,SPORT & CAMPING EQUIPMENT RETAILING,TRUE
5242,TOY & GAME RETAILING,TRUE
5243,NEWSPAPER BOOK & STATIONERY RETAILING,TRUE
5244,PHOTOGRAPHIC EQUIPMENT RETAILING,TRUE
5245,MARINE EQUIPMENT RETAILING,TRUE
5251,PHARMACEUTICAL COSMETIC & TOILETRY RETAILING,TRUE
5252,ANTIQUE & USED GOODS RETAILING,TRUE
5253,GARDEN SUPPLIES RETAILING,TRUE
5254,FLOWER RETAILING,TRUE
5255,WATCH & JEWELLERY RETAILING,TRUE
5256,Used Goods Retailing,TRUE
5257,Firewood And Coal Retailing,TRUE
5258,Farm Equipment Retailing,TRUE
5259,RETAILING n.e.c.,TRUE
5261,HOUSEHOLD EQUIPMENT REPAIR SERVICES (ELECTRICAL),TRUE
5269,HOUSEHOLD EQUIPMENT REPAIR SERVICES n.e.c.,TRUE
5311,CAR RETAILING,TRUE
5312,MOTOR CYCLE DEALING,TRUE
5313,TRAILER & CARAVAN DEALING,TRUE
5314,Tractor Retailing,TRUE
5321,AUTOMOTIVE FUEL RETAILING,TRUE
5322,AUTOMOTIVE ELECTRICAL SERVICES,TRUE
5323,SMASH REPAIRING,TRUE
5324,TYRE RETAILING,TRUE
5325,Auto Trimming/Car Painting,TRUE
5329,AUTOMOTIVE REPAIR & SERVICES n.e.c.,TRUE
5711,HOTEL ACCOMMODATION (3STAR AND BELOW),TRUE
5712,HOTEL ACCOMMODATION (4 STAR AND ABOVE),TRUE
5713,MOTEL ACCOMMODATION,TRUE
5714,RESORT ACCOMMODATION,TRUE
5715,Camping Grounds,TRUE
5716,Backpackers/Hostels,TRUE
5719,OTHER ACCOMMODATION,TRUE
5721,PUBS/TAVERNS/BARS/HOTELS WITH GAMING,TRUE
5722,PUBS/TAVERNS/BARS/HOTELS WITHOUT GAMING,TRUE
5723,NIGHT CLUBS & DISCOS,TRUE
5724,HOTELS - MAINLY DRINKING PLACES,TRUE
5725,NIGHT CLUBS,TRUE
5729,DRINKING PLACES n.e.c.,TRUE
5730,CAFES & RESTAURANTS,TRUE
5732,Coffee Shops/Lunch Bars,TRUE
5741,LICENSED CLUBS WITH GAMBLING FACILITIES,TRUE
5742,LICENSED CLUBS WITHOUT GAMBLING,TRUE
5749,HOSPITALITY CLUBS n.e.c.,TRUE
6110,ROAD FREIGHT TRANSPORT,TRUE
6111,Refrigerated Road Freight,TRUE
6112,Road Freight (Logging),TRUE
6113,Road Freight (Livestock And Rural),TRUE
6119,Road Freight N.E.C,TRUE
6121,LONG DISTANCE BUS TRANSPORT,TRUE
6122,SHORT DISTANCE BUS TRANSPORT (INC TRAMWAYS),TRUE
6123,TAXI & OTHER ROAD PASSENGER TRANSPORT,TRUE
6200,RAIL TRANSPORT,TRUE
6301,INTERNATIONAL SEA TRANSPORT,TRUE
6302,COASTAL WATER TRANSPORT,TRUE
6303,INLAND WATER TRANSPORT,TRUE
6401,SCHEDULED INTERNATIONAL AIR TRANSPORT,TRUE
6402,SCHEDULED DOMESTIC AIR TRANSPORT,TRUE
6403,NON-SCHEDULED AIR & SPACE TRANSPORT,TRUE
6501,PIPELINE TRANSPORT,TRUE
6509,TRANSPORT n.e.c.,TRUE
6611,PARKING SERVICES,TRUE
6619,SERVICES TO ROAD TRANSPORT n.e.c.,TRUE
6621,STEVEDORING,TRUE
6622,WATER TRANSPORT TERMINALS,TRUE
6623,PORT OPERATORS,TRUE
6629,SERVICES TO WATER TRANSPORT n.e.c.,TRUE
6630,SERVICES TO AIR TRANSPORT,TRUE
6641,TRAVEL AGENCY SERVICES,TRUE
